DATA,VALOR,DESCRIÇÃO,CATEGORIA,OPERAÇÃO,MOVIMENTAÇÃO,ARCHIVE
2023-11-07,"52,92",Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-11-12,"52,8",Pag*Paulusbar,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-06-07,"52,46",Lucas Gabriel Alves da Silva,Cigarro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2024-02-09,52,Tech Press,Papelaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-06-09,52,Old School,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2023-06-26,"51,3",Bar do Sabao,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2022-11-24,"50,4",Geraldo Ferreira de M,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2024-03-31,"50,04",Belmonte Copacabana,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-01-15,50,Posto Formula,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-02-11,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-03-23,50,Posto Tereza Cristina,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-03-16,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-03-03,50,Posto Tereza Cristina,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-04-26,50,Posto Leste Oeste,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-04-17,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-05-11,50,Mp *Hotdogbruttus,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-07-11,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2023-08-18,50,Posto Oceano Ltda,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2023-08-11,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2023-09-23,50,Expressa Combustiveis,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-09-16,50,Posto Quick,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-09-01,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-10-02,50,Vila Aymore,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2023-11-20,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-12-02,50,Posto de Combustiveis,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2024-02-22,50,Expressa Combustiveis,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-02-08,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-02-07,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-02-04,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-02-01,50,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-03-26,50,Auto Posto Arrudao,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-03-20,50,Posto Tereza Cristina,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-04-25,50,As Negocios Empreendim,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-15,50,Posto Carmenia S.A,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-14,50,Auto Posto Arrudao,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-05-20,50,Vila Aymore,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-05-10,50,Gastro Bar Amigos Sao,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-06-03,50,Metro,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2024-06-03,49,Lanchonete Breik Breik,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-12-11,"48,57",Adiqplu*Ze Solucoes Te,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2024-05-28,"46,18",Rodo Stop,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2023-11-13,"45,98",TELEFONICA BRASIL S A ,VIVO,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-12-16,"45,66",TELEFONICA BRASIL S A ,VIVO,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2023-10-30,"45,5",61710 Preparacao de do,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2024-04-15,"45,5",Cabelos Beer,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-02-13,"45,48",Supermercado Super Lun,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-09-03,"45,48",Rei do Gado,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-11-02,45,Frogpay*B7 Plus,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2024-06-02,45,Pag*Spotpasssolucoes,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-12-12,"44,99",Ifood *Ifood,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2024-02-11,"44,97",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2022-07-26,"44,85",Microsoft*Xbox,Assinaturas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-08
2023-12-08,44,Pizzaria Quatro Sabore,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2024-03-23,43,Pag*Pointbeerbetania,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-03-19,43,Conta Vivo,VIVO,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-04-17,43,Conta Vivo,VIVO,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-05-21,"42,5",Pag*Claudiobare,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-06-24,42,Manos Beer,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2024-04-20,42,Gege Hot Dog,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-06-08,42,Bar do Sabao,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-01-01,"41,9",Lv Praia Alimentos,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-02
2023-02-08,41,Pag*Miracigeraldocass,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-02-05,41,Esquina Mais Charmosa,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2024-04-20,"40,9",Raia3338,Saúde,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-05-10,"40,8",Zucchine Restaurante,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2022-12-26,40,Alfa Auto Posto,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-02-24,40,Auto Posto Arrudao,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-02-08,40,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-03-09,40,Auto Posto Arrudao,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-03-06,40,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-04-26,40,Pag*Sinalautopecas,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-05-14,40,Pag*Mepayfinancial,Outros,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-05-12,40,Abastec*Abastece Ai,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-08-11,40,Bentos Barbearia,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2023-10-23,40,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2023-11-11,40,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-12-15,40,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2024-04-17,40,Bruno Celulares,Compras/Catira,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-10,40,Posto Carmenia S.A,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-07,40,Posto Carmenia S.A,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-04-03,"39,46",Supermercado Super Lun,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-01-09,"39,36",Bar do Sabao,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2024-04-21,"39,24",Rondon Distribuidora D,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2022-11-23,39,Arm. Familia Alves,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2024-03-13,39,Mp *Claudioburgue,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-05-18,"37,9",Bk Shop Metro Sta Cruz,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-06-28,"37,73",Foco Empreendimentos Ltda,Outros,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-11-27,"37,2",Padaria Pao Divino,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2024-03-18,"37,1",Sorvettero,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2022-01-02,37,C F de Cabofrio,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-02
2022-09-17,37,Elite do Lelis,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-10
2023-08-13,37,Comercial Marcal,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2024-05-03,"36,97",Regalle Restaurante,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-04-08,"36,45",Pag*Pointbeerbetania,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
